geneSymbol	ensemblId	geneName	overallScore	literature	genetic_association	clinical	animal_model	genetic_literature	rna_expression
TYK2	ENSG00000105397	tyrosine kinase 2	0.7517870740478155	0.7819688254142984	0.9206099686872204	0.9891030741032509			
IL12B	ENSG00000113302	interleukin 12B	0.7327522713447271	0.41516460413189393	0.850433143789256	0.9834876801701591			
IL6R	ENSG00000160712	interleukin 6 receptor	0.732460258806829	0.48040096989714565	0.8039545297855242	0.9931772982026619			
TNF	ENSG00000232810	tumor necrosis factor	0.7166256679552229	0.9977007604992195		0.9986379260591441	0.48024437627452465	0.607930797611621	
TRAF3IP2	ENSG00000056972	TRAF3 interacting protein 2	0.7138603345449056	0.41400268192476986	0.8424335568151569	0.9501979626577228	0.32334319297968095		0.024730415607504327
MIF	ENSG00000240972	macrophage migration inhibitory factor	0.6976727531688605	0.9331285796273404		0.9501979626577228		0.547137717850459	
JAK2	ENSG00000096968	Janus kinase 2	0.6934326771029184	0.4508261645295845	0.5377736259951232	0.9916783263329138	0.3603205837444078		
JAK1	ENSG00000162434	Janus kinase 1	0.6903808968126417	0.3785285514892235	0.5291414251952968	0.9916966583306238	0.2584313820647001		
PADI4	ENSG00000159339	peptidyl arginine deiminase 4	0.6892861448435421	0.9761713654822358	0.8702778346907813			0.3039653988058105	
PTPN22	ENSG00000134242	protein tyrosine phosphatase non-receptor type 22	0.6798611028661302	0.9496813462467454	0.7885579883591437		0.2946032645225916	0.607930797611621	0.0334432182644848
IRF5	ENSG00000128604	interferon regulatory factor 5	0.6358812440641249	0.4511069552618247	0.8839690636415507			0.607930797611621	
PTGS2	ENSG00000073756	prostaglandin-endoperoxide synthase 2	0.6336887634143262	0.840936863163927		0.9991225845150038			0.054021158550519095
IL23A	ENSG00000110944	interleukin 23 subunit alpha	0.6300030146144067	0.940287542979932		0.9834876801701591	0.26122786373371354		
IL17A	ENSG00000112115	interleukin 17A	0.6280826302236754	0.9886467723547224		0.983715895837937			
NR3C1	ENSG00000113580	nuclear receptor subfamily 3 group C member 1	0.6264814767537767	0.4134536366394646	0.09933231518299525	0.9964935211905023			
MS4A1	ENSG00000156738	membrane spanning 4-domains A1	0.6250888195859142	0.8434133078657825		0.985721128986875			0.014933200757380818
TLR7	ENSG00000196664	toll like receptor 7	0.6245484325350175	0.7018838335133243		0.9831875362317694	0.38194772186944126		0.04522340482669109
FCRL3	ENSG00000160856	Fc receptor like 3	0.6218361059371833	0.8112280516662363	0.852863186882425			0.607930797611621	
TLR9	ENSG00000239732	toll like receptor 9	0.6213991990562341	0.7793392289424306		0.9831875362317694			
CD80	ENSG00000121594	CD80 molecule	0.6191239482171799	0.6784724322370459		0.9844882612036479			
JAK3	ENSG00000105639	Janus kinase 3	0.618253481113395	0.3386335634265732		0.9890271833412604	0.4085531377482498		
CD86	ENSG00000114013	CD86 molecule	0.6161573463641837	0.5660449691327819		0.9844882612036479			0.03336922666417508
STAT4	ENSG00000138378	signal transducer and activator of transcription 4	0.6161202016568202	0.7913230292955327	0.8439032921980294			0.607930797611621	
DHFR	ENSG00000228716	dihydrofolate reductase	0.6158311309876353	0.3567564706851452		0.9951576249724678			
PTGS1	ENSG00000095303	prostaglandin-endoperoxide synthase 1	0.6148225967431268	0.2527370310890757		0.9986996347011884			
DHODH	ENSG00000102967	dihydroorotate dehydrogenase (quinone)	0.6042376874912411	0.20528388973193928		0.9836609197946844			
PDE4A	ENSG00000065989	phosphodiesterase 4A	0.6029676362900136	0.1761605517959246	0.12696276633223003	0.9561806059823336			
ALOX5	ENSG00000012779	arachidonate 5-lipoxygenase	0.5985788962488053	0.3921267679338579		0.9581320723483466	0.2645714831205775		0.07992442723504707
CD40	ENSG00000101017	CD40 molecule	0.5962519902089006	0.8695862864718461	0.9213611325178097	0.14353921610274387			
IL12A	ENSG00000168811	interleukin 12A	0.5957720807663239	0.10758572883977294		0.974620547596581			
PPAT	ENSG00000128059	phosphoribosyl pyrophosphate amidotransferase	0.5883364964594279			0.9677688624607055			
PDE4B	ENSG00000184588	phosphodiesterase 4B	0.5858600262623511	0.13813538679064055		0.9561806059823336			0.027354676982048104
PDE4D	ENSG00000113448	phosphodiesterase 4D	0.5847102521114367	0.11246719755814989		0.9561806059823336			
IL1R1	ENSG00000115594	interleukin 1 receptor type 1	0.5844594049872879	0.8050975177884886		0.9102142327402497	0.4724230228239907		0.033915469028282554
PDE4C	ENSG00000105650	phosphodiesterase 4C	0.5812916384556032			0.9561806059823336			
ATP4A	ENSG00000105675	ATPase H+/K+ transporting subunit alpha	0.5712728628396865	0.17459054133323518		0.930970953784197			
ATP4B	ENSG00000186009	ATPase H+/K+ transporting subunit beta	0.5659659144872785			0.930970953784197			
IL2RA	ENSG00000134460	interleukin 2 receptor subunit alpha	0.5649666163240571	0.8631606608981223	0.8861691511406008				
UBASH3A	ENSG00000160185	ubiquitin associated and SH3 domain containing A	0.562137546096471	0.7321538019926975	0.8880658883815705				
CTLA4	ENSG00000163599	cytotoxic T-lymphocyte associated protein 4	0.5611647414297727	0.9341325158430939	0.8689540600215299		0.33357162864949647		
TNFAIP3	ENSG00000118503	TNF alpha induced protein 3	0.5558650762688293	0.8903528934734278	0.8639669366815528		0.2642067246420105		
IL23R	ENSG00000162594	interleukin 23 receptor	0.5529640257006492	0.5597151006137284	0.8815980789732496				
NFKBIE	ENSG00000146232	NFKB inhibitor epsilon	0.5511897913666702	0.2983360251000015	0.8917485519926569				
IL17RA	ENSG00000177663	interleukin 17 receptor A	0.5509270779694464	0.72599557671394		0.8699334308221698			
RASGRP1	ENSG00000172575	RAS guanyl releasing protein 1	0.5479349883045191	0.6307298912187168	0.8636687368957146		0.2548445903587916		0.03544038255805995
SH2B3	ENSG00000111252	SH2B adaptor protein 3	0.5477362107320141	0.18385976686785335	0.8751288109946274		0.42958754334561194		0.023241166861273664
BLK	ENSG00000136573	BLK proto-oncogene, Src family tyrosine kinase	0.545702674166517	0.7560843145529179	0.8598352463795875				
CCR6	ENSG00000112486	C-C motif chemokine receptor 6	0.5372407703946744	0.7312732003321122	0.8411705210040648		0.2693741364217093		
ERAP1	ENSG00000164307	endoplasmic reticulum aminopeptidase 1	0.5357434047504386	0.6266314062729791	0.8437950054877723		0.27587899595615367		
GATA3	ENSG00000107485	GATA binding protein 3	0.5351869404892992	0.21107021418562166	0.8692221588391529				0.025479411842324735
CCL21	ENSG00000137077	C-C motif chemokine ligand 21	0.5347851319125727	0.5654458699306552	0.8514086406058095				
LBH	ENSG00000213626	LBH regulator of Wnt signaling pathway	0.5341764346000591	0.2549150343679721	0.8659339215251336				
IL10	ENSG00000136634	interleukin 10	0.5310891758062284	0.9579165926387938	0.678878683648354		0.2972781600320827		
SUOX	ENSG00000139531	sulfite oxidase	0.5263829391320443	0.04137306817079087	0.8637913115743926				
IFNGR2	ENSG00000159128	interferon gamma receptor 2	0.5253016483201024	0.048698634282010905	0.8616463919889525				
PTGER3	ENSG00000050628	prostaglandin E receptor 3	0.5242298873734277	0.13070512148649852	0.3912464255923688	0.7616021936745586			
PTPN2	ENSG00000175354	protein tyrosine phosphatase non-receptor type 2	0.5227746452171602	0.7066743139724773	0.824196659604144				0.017739908060810626
RUNX1	ENSG00000159216	RUNX family transcription factor 1	0.5222894891710923	0.6912592315890181	0.8178372246890224		0.2670639993907852		0.06332870520221597
CD83	ENSG00000112149	CD83 molecule	0.5217322583563333	0.1764249168650906	0.8493887024042498				
TRAF1	ENSG00000056558	TNF receptor associated factor 1	0.5172455644562155	0.8973267870008248	0.8059633381203537				
IL6	ENSG00000136244	interleukin 6	0.5150147295558882	0.9877431337296474		0.6732275766344503		0.607930797611621	
AFF3	ENSG00000144218	ALF transcription elongation factor 3	0.5122414548071849	0.38507045329368345	0.8233447744106226				
TAGAP	ENSG00000164691	T cell activation RhoGTPase activating protein	0.5119704135159183	0.22020390626804803	0.8311422594187768				
BACH2	ENSG00000112182	BACH transcriptional regulator 2	0.5107228020975911	0.23462021693402765	0.8220986217577413		0.255756486555209		
TNIP1	ENSG00000145901	TNFAIP3 interacting protein 1	0.5096305295831335	0.30030708854883165	0.8173939420877746		0.2652402069979503		
MACIR	ENSG00000181751	macrophage immunometabolism regulator	0.5096300673330755	0.15466828041813294	0.8305693489502409				
REL	ENSG00000162924	REL proto-oncogene, NF-kB subunit	0.5066385059124601	0.6547714670637744	0.794303255499159		0.2853019233191338		
EOMES	ENSG00000163508	eomesodermin	0.5035918461237012	0.09969387208888994	0.823385653978148				
ARID5B	ENSG00000150347	AT-rich interaction domain 5B	0.5027069919896892	0.17301362421735586	0.8171319535974513				0.05094877110942152
PADI2	ENSG00000117115	peptidyl arginine deiminase 2	0.5009948961582128	0.9037445528788103	0.7789113344398895				
IRF4	ENSG00000137265	interferon regulatory factor 4	0.4971338932332336	0.6797637044584078	0.7742826923104776		0.4264482562546119		
ANKRD55	ENSG00000164512	ankyrin repeat domain 55	0.49629901064264814	0.22347740462115429	0.8052003167528211				
ETV7	ENSG00000010030	ETS variant transcription factor 7	0.4899060706331081	0.1128809282398578	0.8002142396919568				
FCGR2A	ENSG00000143226	Fc gamma receptor IIa	0.4895201715494628	0.8158800925401983	0.7535406030900074		0.4900006663582667		
