drug,proximity_score
"TRIS(2,3-DIBROMOPROPYL)PHOSPHATE",0.0
CHEMBL:CHEMBL531401,0.0
ISEPAMICIN,0.0
PLX8394,0.0
PROMEGAPOIETIN,0.0
THROMBOLYTIC AGENT,0.0
SUNSCREEN,0.0
MISTLETOE EXTRACT,0.0
THYROGLOBULIN,0.0
ATX08-001,0.0
CORYNEBACTERIUM GRANULOSUM P40,0.0
CHEMBL:CHEMBL2208195,0.0
FRAXINE,0.0
BL22,0.0
COMPSTATIN,0.0
MOC31-PE,0.0
THERAPEUTIC AUTOLOGOUS LYMPHOCYTES,0.0
ASTRAGALIN,0.0
"HER2 INHIBITOR CP-724,714",0.0
MK-7110,0.0
DENINTUZUMAB,0.0
CALCDPWW,0.0
DABIGATRAN ETEXILATE MESYLATE,0.0
GLENZOCIMAB,0.0
IBI-939,0.0
CMB-401,0.0
TGN-1412,0.0
EPRATUZUMAB 90Y,0.0
AVE-9633,0.0
GSK933776,0.0
BRIVANIB ALANINATE,0.0
BATILOL,0.0
MECASERMIN RINFABATE,0.0
NITROVIN,0.0
AMP-PNP,0.0
BENZO[B]TRIPHENYLENE,0.0
PHENYL AMINOSALICYLATE,0.0
DICYCLOHEXYLCARBODIIMIDE,0.0
DITIOCARB SODIUM,0.0
CHEMBL:CHEMBL259422,0.0
HYPOTAURINE,0.0
CHEMBL:CHEMBL586195,0.0
CHEMBL:CHEMBL1702181,0.0
PENDIMETHALIN,0.0
IROPLACT,0.0
O-CHLOROACETYLCARBAMOYLFUMAGILLOL,0.0
CLENOLIXIMAB,0.0
RECOMBINANT HUMAN 6CKINE,0.0
SATRALIZUMAB,0.0
OFATUMUMAB,0.0
CHEMBL:CHEMBL1797709,0.0
CHEMBL:CHEMBL384441,0.0
AICA RIBONUCLEOTIDE,0.0
ISOBAVACHALCONE,0.0
IDOXURIDINE,0.0
CHEMBL:CHEMBL1761683,0.0
NIZATIDINE,0.0
IL-7,0.0
FLUORODIFEN,0.0
CASEARINONE A,0.0
CYCLOHEXANONE OXIME,0.0
CHEMBL:CHEMBL547161,0.0
DECYLUBIQUINONE,0.0
CHLORPYRIFOS-METHYL,0.0
ISIS 104838,0.0
CHEMBL:CHEMBL26886,0.0
"7-OXOCALLITRISIC ACID, METHYL ESTER",0.0
NAPABUCASIN,0.0
CLK INHIBITOR CTX-712,0.0
TNP-470,0.0
TECTORIGENIN,0.0
AMG-208,0.0
CHEMBL:CHEMBL602987,0.0
SIMUFILAM,0.0
MRA 003 US,0.0
PRAMIPEXOLE DIHYDROCHLORIDE,0.0
ALICAFORSEN,0.0
NEMIFITIDE,0.0
FBT-A05,0.0
PG-110,0.0
COPANLISIB HYDROCHLORIDE,0.0
ALVERINE,0.0
ELEXACAFTOR,0.0
REMOXIPRIDE HYDROCHLORIDE,0.0
BI-505,0.0
PI3K-ALPHA INHIBITOR HS-10352,0.0
AZ3146,0.0
CRX-555,0.0
ANALOG 30 [PMID:18543899],0.0
R3/I5- SMBIT,0.0
RIPK2 INHIBITOR 8,0.0
UDP-&BETA;-S,0.0
UDP N-ACETYL-GLUCOSAMINE,0.0
DAPORINAD,0.0
PEGSUNERCEPT,0.0
ENAVATUZUMAB,0.0
RN1734,0.0
QUINAZOLIN-4(3H) DERIVATIVE 36,0.0
"[GA-DOTA,TYR3,THR8]OCTREOTIDE",0.0
SHR-1316,0.0
RECOMBINANT HUMAN INTERLEUKIN-15,0.0
BALCINRENONE,0.0
M4344,0.0
REZVILUTAMIDE,0.0
JNJ-37822681,0.0
1018 ISS,0.0
GSK-256066,0.0
CARDIOTROPHIN-1,0.0
MDG 548,0.0
TAGITININ A,0.0
ISOX-CHA-CHG-ARK(SULFO-CY5)-NH2,0.0
CHEMBL:CHEMBL1420457,0.0
CLOFLUCARBAN,0.0
ISOFLUPREDONE ACETATE,0.0
DIPLAMINE B,0.0
OCTYL_GALLATE,0.0
IPRODIONE,0.0
ELACESTRANT,0.0
ZATOLMILAST,0.0
BECAPLERMIN,0.0
